descriptor,normstr
HardNetLib+-train-a,l2n
HardNetLib+-train-b,l2n
HardNetLib+-train-c,l2n
HardNetLib-train-a,l2n
HardNetLib-train-b,l2n
HardNetLib-train-c,l2n
binboost-train-a,wzca_ceig0_40_pl0_50_l2n
binboost-train-b,wzca_ceig0_40_pl0_50_l2n
binboost-train-c,wzca_ceig0_40_pl0_50_l2n
brief-train-a,wzca_ceig0_40_pl0_50_l2n
brief-train-b,wzca_ceig0_40_pl0_50_l2n
brief-train-c,wzca_ceig0_40_pl0_50_l2n
deepdesc-train-a,wzca_pl0_50_l2n
deepdesc-train-b,wzca_pl0_50_l2n
deepdesc-train-c,wzca_pl0_50_l2n
kde-train-a,wzca_ceig0_05_pl0_50_l2n
kde-train-b,wzca_ceig0_05_pl0_50_l2n
kde-train-c,wzca_ceig0_05_pl0_50_l2n
l2net-train-a,wzca_ceig0_30_pl0_50_l2n
l2net-train-b,wzca_ceig0_25_pl0_50_l2n
l2net-train-c,wzca_ceig0_25_pl0_50_l2n
meanstd-train-a,wzca_ceig0_05_pl0_50
meanstd-train-b,wzca_ceig0_05_pl0_50
meanstd-train-c,wzca_ceig0_05_pl0_50
mkd-train-a,wzca_ceig0_40_pl0_50_l2n
mkd-train-b,wzca_ceig0_40_pl0_50_l2n
mkd-train-c,wzca_ceig0_40_pl0_50_l2n
orb-train-a,wzca_ceig0_40_pl0_50_l2n
orb-train-b,wzca_ceig0_40_pl0_50_l2n
orb-train-c,wzca_ceig0_40_pl0_50_l2n
resize-train-a,l2n
resize-train-b,l2n
resize-train-c,l2n
rootsift-train-a,wzca_ceig0_25_pl0_50_l2n
rootsift-train-b,wzca_ceig0_25_pl0_50_l2n
rootsift-train-c,wzca_ceig0_25_pl0_50_l2n
siam-train-a,wzca_ceig0_30_pl0_50_l2n
siam-train-b,wzca_ceig0_25_pl0_50_l2n
siam-train-c,wzca_ceig0_25_pl0_50_l2n
siam2stream-train-a,wzca_ceig0_10_pl0_50_l2n
siam2stream-train-b,wzca_ceig0_15_pl0_50_l2n
siam2stream-train-c,wzca_ceig0_20_pl0_50_l2n
sift-train-a,wzca_ceig0_30_pl0_50_l2n
sift-train-b,wzca_ceig0_25_pl0_50_l2n
sift-train-c,wzca_ceig0_30_pl0_50_l2n
tfeat-margin-star-train-a,wzca_ceig0_40_pl0_50_l2n
tfeat-margin-star-train-b,wzca_ceig0_40_pl0_50_l2n
tfeat-margin-star-train-c,wzca_ceig0_40_pl0_50_l2n
tfeat-margin-train-a,wzca_ceig0_30_pl0_50_l2n
tfeat-margin-train-b,wzca_ceig0_30_pl0_50_l2n
tfeat-margin-train-c,wzca_ceig0_30_pl0_50_l2n
tfeat-n-lib-train-a,wzca_ceig0_40_pl0_50_l2n
tfeat-n-lib-train-b,wzca_ceig0_40_pl0_50_l2n
tfeat-n-lib-train-c,wzca_ceig0_40_pl0_50_l2n
tfeat-n-train-a,none
tfeat-n-train-b,none
tfeat-n-train-c,none
tfeat-ratio-star-train-a,wzca_ceig0_15_pl0_50_l2n
tfeat-ratio-star-train-b,wzca_ceig0_15_pl0_50_l2n
tfeat-ratio-star-train-c,wzca_ceig0_15_pl0_50_l2n
tfeat-ratio-train-a,wzca_ceig0_15_pl0_50_l2n
tfeat-ratio-train-b,wzca_ceig0_15_pl0_50_l2n
tfeat-ratio-train-c,wzca_ceig0_15_pl0_50_l2n
tnet-train-a,wzca_pl0_50_l2n
tnet-train-b,wzca_pl0_50_l2n
tnet-train-c,wzca_pl0_50_l2n
wlrn-train-a,none
wlrn-train-b,l2n
wlrn-train-c,none
