descriptor,normstr
HardNetLib+-train-liberty,l2n
HardNetLib+-train-notredame,l2n
HardNetLib+-train-yosemite,l2n
deepdesc-train-liberty,none
deepdesc-train-notredame,none
deepdesc-train-yosemite,none
kde-train-liberty,wzca_ceig0_40_pl0_50_l2n
kde-train-notredame,wzca_ceig0_40_pl0_50_l2n
kde-train-yosemite,wzca_ceig0_05_pl0_50_l2n
l2net-train-liberty,none
l2net-train-notredame,l2n
l2net-train-yosemite,none
meanstd-train-liberty,wzca_ceig0_05_pl0_50
meanstd-train-notredame,wpca_ceig0_05_pl0_50
meanstd-train-yosemite,wzca_ceig0_05_pl0_50
mkd-train-liberty,none
mkd-train-notredame,l2n
mkd-train-yosemite,none
resize-train-liberty,l2n
resize-train-notredame,wzca_ceig0_40_pl0_50_l2n
resize-train-yosemite,pl0_50_l2n
rootsift-train-liberty,wzca_ceig0_40_pl0_50_l2n
rootsift-train-notredame,wzca_ceig0_40_pl0_50_l2n
rootsift-train-yosemite,wzca_ceig0_40_pl0_50_l2n
sift-train-liberty,wzca_ceig0_40_pl0_50_l2n
sift-train-notredame,wzca_ceig0_40_pl0_50_l2n
sift-train-yosemite,wzca_ceig0_40_pl0_50_l2n
tfeat-train-liberty,pl0_50
tfeat-train-notredame,pl0_50
tfeat-train-yosemite,pl0_50
tnet-train-liberty,none
tnet-train-notredame,l2n
tnet-train-yosemite,none
