s,idx
v_man,3
v_bees,2
i_partyfood,258
i_nijmegen,1738
v_azzola,324
v_man,1263
i_smurf,604
v_machines,795
i_steps,534
v_coffeehouse,1341
v_weapons,598
v_wounded,50
v_coffeehouse,1832
i_troulos,42
v_tempera,1227
i_table,346
v_coffeehouse,1081
v_dirtywall,58
v_feast,679
i_table,1709
v_azzola,510
v_adam,317
i_fog,432
v_tempera,1395
v_graffiti,206
v_maskedman,110
v_talent,22
i_pool,427
i_partyfood,683
i_troulos,10
i_londonbridge,1767
v_azzola,746
i_boutique,514
v_man,143
i_bologna,229
i_melon,520
v_graffiti,808
i_dc,293
i_boutique,324
v_artisans,192
i_table,1314
i_crownnight,1662
v_talent,1442
i_londonbridge,459
i_nijmegen,1071
v_busstop,1130
i_dc,1287
i_castle,252
v_weapons,1181
v_wounded,525
i_melon,28
i_table,537
i_kions,142
i_melon,217
v_bees,592
i_bologna,200
v_artisans,66
v_pomegranate,760
i_parking,143
v_weapons,1164
i_dc,1369
v_blueprint,464
i_partyfood,95
i_nijmegen,407
i_dc,1141
v_machines,1853
v_wounded,696
v_azzola,803
i_pool,443
i_bologna,244
v_coffeehouse,1403
v_artisans,712
v_graffiti,277
i_partyfood,369
i_ski,621
v_graffiti,211
i_londonbridge,1282
i_boutique,777
v_coffeehouse,1635
i_ski,20
i_nijmegen,728
v_coffeehouse,1456
i_steps,615
i_castle,370
i_nijmegen,1416
v_busstop,623
v_busstop,1242
v_adam,503
i_tools,631
v_man,760
v_talent,846
i_londonbridge,947
i_boutique,187
i_nijmegen,500
i_fog,374
v_pomegranate,433
v_adam,422
v_machines,1167
v_coffeehouse,1563
v_gardens,498
v_busstop,5
v_wounded,316
v_maskedman,616
v_busstop,1959
i_ski,474
v_busstop,573
v_gardens,795
i_dc,507
i_troulos,79
i_ski,174
i_tools,520
v_artisans,691
i_dc,1294
v_man,787
v_maskedman,571
i_boutique,185
i_partyfood,586
i_partyfood,93
v_artisans,1602
i_leuven,513
v_war,1201
v_man,653
v_war,1975
i_melon,294
v_dirtywall,1254
v_gardens,1259
v_machines,1116
v_man,1510
i_partyfood,43
v_bees,538
v_weapons,38
i_leuven,384
v_war,1458
i_londonbridge,288
v_tempera,247
v_talent,1585
i_table,358
i_kions,437
v_talent,1818
v_talent,208
i_crownnight,123
v_dirtywall,974
v_talent,402
v_graffiti,283
v_man,662
v_adam,575
i_ski,240
v_maskedman,166
i_leuven,560
i_troulos,186
v_man,147
i_kions,700
i_nijmegen,622
v_maskedman,264
i_boutique,500
v_gardens,278
v_adam,748
v_coffeehouse,902
i_partyfood,158
v_war,1083
v_war,498
v_coffeehouse,1340
i_fog,586
v_man,487
i_table,464
i_troulos,227
v_gardens,665
i_castle,355
i_table,1489
i_table,821
v_talent,798
v_machines,752
v_gardens,1250
v_war,1192
v_adam,283
i_ski,261
i_smurf,859
i_table,363
v_artisans,1544
v_war,1884
i_kions,97
v_war,1035
i_melon,416
i_steps,500
i_castle,134
v_feast,258
v_coffeehouse,915
i_tools,516
v_pomegranate,1986
i_kions,293
v_tempera,150
i_steps,480
i_pool,257
v_adam,148
i_boutique,973
i_kions,141
i_pool,250
i_troulos,233
i_crownnight,906
v_weapons,643
i_smurf,1070
v_artisans,1395
i_troulos,93
i_smurf,760
i_crownnight,355
v_war,531
i_londonbridge,691
v_adam,271
v_wounded,428
v_man,647
i_bologna,236
v_wounded,701
i_ski,63
i_steps,163
v_talent,1412
v_graffiti,726
v_machines,1554
v_blueprint,765
v_dirtywall,1609
v_busstop,922
i_londonbridge,652
i_pool,16
v_artisans,606
i_table,745
i_ski,300
i_fog,87
i_tools,809
v_gardens,562
v_war,1268
i_boutique,441
v_busstop,1949
i_smurf,1031
i_pool,548
i_troulos,46
i_crownnight,1123
v_coffeehouse,1368
v_adam,684
v_coffeehouse,752
i_nijmegen,702
v_weapons,1365
v_feast,942
v_wounded,233
i_crownnight,792
v_busstop,1258
v_graffiti,125
v_busstop,689
v_graffiti,476
v_bees,684
i_bologna,119
i_bologna,29
i_table,559
v_busstop,178
i_pool,93
v_weapons,566
v_adam,747
i_melon,301
v_adam,417
i_dc,1883
v_azzola,585
i_crownnight,1475
i_nijmegen,1440
i_londonbridge,1145
i_troulos,56
i_castle,138
v_adam,198
i_fog,720
v_tempera,1384
v_tempera,409
v_dirtywall,645
v_feast,1872
v_feast,1551
i_nijmegen,1638
v_maskedman,61
v_maskedman,247
v_pomegranate,1727
v_azzola,496
v_dirtywall,55
v_adam,458
v_talent,918
v_adam,288
i_tools,542
i_smurf,556
i_melon,80
v_busstop,443
i_castle,286
v_talent,1307
v_dirtywall,1964
v_bees,490
i_kions,387
v_busstop,1724
v_gardens,1574
v_coffeehouse,594
v_bees,407
v_blueprint,326
v_busstop,941
v_adam,175
v_azzola,1544
v_war,1813
v_machines,382
v_adam,257
i_troulos,271
i_bologna,260
v_graffiti,395
v_blueprint,1715
v_wounded,526
v_coffeehouse,1090
v_war,840
v_tempera,347
v_machines,1958
i_table,1086
v_maskedman,355
i_table,1304
v_artisans,1064
i_castle,539
v_wounded,366
v_adam,276
i_boutique,220
v_artisans,1208
v_busstop,1930
v_graffiti,74
v_coffeehouse,472
i_leuven,0
i_londonbridge,415
v_weapons,1388
i_ski,16
i_nijmegen,1533
i_pool,754
i_dc,1462
i_fog,530
v_machines,1865
i_partyfood,58
v_talent,1736
v_pomegranate,1138
i_table,202
v_war,1829
v_machines,1566
v_tempera,1217
v_graffiti,471
v_tempera,1129
v_tempera,878
i_kions,125
i_partyfood,413
v_gardens,1638
v_adam,674
i_tools,500
v_man,120
i_melon,207
i_kions,660
v_war,349
v_dirtywall,819
v_busstop,1216
v_wounded,653
i_pool,392
i_leuven,496
v_dirtywall,391
i_smurf,1132
i_castle,469
i_smurf,349
v_talent,774
v_artisans,1745
v_gardens,148
v_artisans,255
v_machines,1412
i_boutique,343
i_fog,676
i_ski,107
i_ski,594
v_pomegranate,1836
v_war,1103
v_graffiti,24
v_wounded,282
i_ski,562
i_tools,937
v_tempera,315
v_bees,839
i_troulos,185
i_fog,591
v_artisans,839
i_pool,607
v_gardens,1405
v_tempera,149
v_bees,351
i_dc,441
v_talent,394
i_tools,364
v_dirtywall,5
i_tools,533
i_fog,219
i_pool,11
v_artisans,794
v_artisans,1408
v_azzola,703
v_man,457
v_weapons,224
v_adam,335
v_dirtywall,166
v_gardens,1339
v_machines,1139
i_parking,325
i_tools,949
v_weapons,497
v_pomegranate,147
v_blueprint,35
i_parking,406
i_smurf,989
v_war,1434
i_ski,307
i_tools,641
i_melon,239
i_pool,366
v_coffeehouse,855
i_pool,303
i_table,616
v_talent,1190
v_war,553
v_maskedman,765
i_crownnight,1885
v_coffeehouse,1324
i_fog,204
v_busstop,194
v_adam,170
v_adam,761
v_gardens,1639
i_fog,401
i_troulos,38
i_ski,251
v_adam,681
i_parking,206
v_bees,499
i_leuven,142
i_fog,18
i_table,1599
v_busstop,1765
v_machines,818
i_castle,19
v_artisans,1811
i_nijmegen,1873
v_bees,447
v_artisans,1249
i_parking,230
v_artisans,1124
v_pomegranate,738
i_londonbridge,293
i_melon,549
i_steps,64
v_bees,498
v_weapons,75
v_graffiti,900
v_azzola,1727
v_weapons,634
i_parking,124
v_gardens,26
i_boutique,679
v_coffeehouse,82
v_busstop,485
v_busstop,1486
i_bologna,163
v_man,367
v_war,470
v_coffeehouse,1737
v_machines,1472
v_war,1930
v_gardens,688
i_fog,369
i_leuven,339
v_machines,1691
v_busstop,339
v_dirtywall,814
i_castle,79
i_crownnight,1729
v_graffiti,792
v_tempera,602
i_leuven,66
v_weapons,415
i_fog,144
i_smurf,551
i_fog,723
i_boutique,570
i_londonbridge,539
v_talent,1070
i_dc,1260
v_blueprint,116
i_smurf,150
i_pool,82
i_tools,56
v_busstop,1752
i_fog,384
v_graffiti,1003
v_azzola,1777
v_weapons,433
v_machines,319
i_pool,610
v_man,241
v_man,464
i_dc,202
v_blueprint,548
i_tools,757
v_busstop,1468
v_machines,1663
v_bees,1158
i_steps,575
i_bologna,273
i_fog,540
i_boutique,486
i_parking,369
i_castle,571
v_feast,1509
i_londonbridge,1589
i_leuven,404
v_wounded,569
i_boutique,656
v_maskedman,948
i_table,14
i_tools,974
v_bees,1063
v_gardens,1104
v_feast,1533
i_smurf,306
i_nijmegen,704
i_ski,396
v_tempera,677
i_castle,203
i_londonbridge,210
v_graffiti,398
i_melon,372
v_weapons,1412
i_kions,257
v_blueprint,114
i_smurf,333
v_man,348
v_maskedman,232
i_parking,448
v_artisans,1100
i_smurf,827
v_man,607
i_troulos,97
i_leuven,567
v_talent,1653
i_crownnight,461
v_talent,499
i_nijmegen,630
v_man,1061
i_ski,357
i_leuven,50
v_talent,1448
v_graffiti,126
v_adam,102
v_feast,1989
i_kions,476
v_war,1252
v_azzola,722
i_pool,435
v_azzola,1408
v_gardens,1382
v_weapons,785
v_busstop,26
i_crownnight,71
i_bologna,94
i_dc,587
i_partyfood,425
v_blueprint,1029
i_ski,89
i_pool,221
v_machines,1618
i_steps,593
i_fog,151
i_parking,44
v_war,1235
i_pool,582
i_nijmegen,1286
v_feast,1935
i_fog,381
v_coffeehouse,1593
v_talent,56
i_nijmegen,425
v_talent,1646
v_weapons,141
v_artisans,567
i_nijmegen,1547
v_talent,1884
v_talent,1038
v_gardens,1031
v_weapons,1254
v_maskedman,136
i_castle,173
i_boutique,859
v_adam,218
i_crownnight,1286
i_leuven,254
v_talent,811
